"id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"chr1_778492_779012",50.1057614723897,0.480150249500292,0.26727292116562,1.7964792220861,0.0724183343279419,0.32495348329068
"chr1_827011_828034",71.5346385370673,0.30464449612767,0.246076553846796,1.23800699971334,0.215713465398423,0.534291331136233
"chr1_1115979_1116553",45.9813420952306,0.37504924663274,0.270693085854814,1.38551468888975,0.165895144159449,0.4775034068865
"chr1_1231797_1232397",35.6939591255126,0.282540302699321,0.33611297486878,0.840611115383528,0.400565829642332,0.692110188301286
"chr1_1307860_1308743",62.75734742874,0.412552362052604,0.291142573900875,1.41701145430234,0.156479578608224,0.464227065953773
"chr1_1375109_1375637",65.3453555855771,0.0149784947839569,0.253528414546384,0.0590801422032185,0.952888275235891,0.982189302847165
"chr1_1399118_1399766",40.7420514593368,0.33535309647271,0.286420175505236,1.17084313589697,0.24166183546034,0.556947168722673
"chr1_1407062_1407561",18.3502498911975,0.679368096952171,0.469471262914556,1.4470919747772,0.14787116539596,0.453317738978937
"chr1_1471430_1471929",20.2776704919822,-0.00556495812679034,0.407277197214524,-0.0136638097218566,0.989098196409474,0.9970237741413
"chr1_1511815_1512340",35.3959785865817,0.327787012832337,0.314388126825994,1.04261893138782,0.297124817722846,0.60820855169797
"chr1_1574398_1575605",38.6994160665893,0.569016514199364,0.329543866652537,1.72667912159725,0.0842253073237081,0.348482968889201
"chr1_1615073_1615638",37.3540850105613,0.303868789090116,0.30219872965006,1.00552636155019,0.314643462357357,0.624776691533835
"chr1_1658512_1659322",59.0544254677747,0.580388316365386,0.299779255829699,1.93605229540999,0.0528612963540685,0.274767615445341
"chr1_1692320_1693714",87.2460890578985,0.283356988870505,0.221267067742683,1.28061076490618,0.200330416986017,0.517739864839876
"chr1_1724008_1724751",56.934957218977,-0.137559428591912,0.262868435829176,-0.523301430839356,0.600764505436057,0.822359875053913
"chr1_1745615_1746924",61.7098533645422,0.487572132442457,0.257913737750058,1.89044653726417,0.0586982644088569,0.29198467217739
"chr1_1763912_1764411",12.0787685967694,-0.595774489255883,0.550563971256103,-1.08211673912594,0.279200658742247,0.59309978477597
"chr1_1778710_1779209",19.874263186899,-0.0800127350675688,0.420420829538992,-0.190315820353872,0.849061657358582,0.941489012875839
"chr1_1919066_1919565",27.6684475042305,0.218370001879149,0.348679859423271,0.626276499710481,0.53113359767473,0.779390865062243
"chr1_2133022_2133674",40.3642498475668,0.154425371928926,0.347141953936241,0.444847907831068,0.65642967015354,0.855494174815696
"chr1_2189463_2189966",22.2239593921941,0.665609767511151,0.384733385723784,1.73005460978897,0.0836205188166363,0.347292748435963
"chr1_2227509_2228009",27.1201542710209,0.221944505938797,0.354027015679292,0.626914037938431,0.530715584871305,0.779176105921313
"chr1_2391301_2391957",57.2954805543814,0.234510642418468,0.284103662011254,0.825440407062332,0.409121602450316,0.698760886053314
"chr1_2412360_2412886",31.8326479154146,0.352087822179127,0.330379405231103,1.06570753686308,0.286555869568685,0.599314237346437
"chr1_2526052_2526885",17.5318202827344,0.404446227012693,0.439570022780236,0.920095106701344,0.357523061246655,0.660465215830834
"chr1_2586262_2586761",24.3804052224623,0.308286771439505,0.372518064092435,0.827575361185728,0.407911026662052,0.698323031319147
"chr1_3624530_3625174",49.4533302433447,0.658536828233333,0.275005156423648,2.39463447448545,0.0166369415068545,0.144753534617658
"chr1_3796324_3796823",16.4734741950859,0.727926203138873,0.451793127340619,1.61119361736123,0.107137528529984,0.392319702496093
"chr1_3856937_3857630",49.5076634112138,0.741501821424402,0.284347689898861,2.60772936712848,0.0091144984034348,0.100779507790022
"chr1_3899806_3901594",107.827485925601,0.820379191256001,0.202740202882468,4.04645541235641,5.19990236733547e-05,0.00281403018301728
"chr1_5991993_5992813",82.2128222904602,0.700961434628472,0.2277870787229,3.07726600893451,0.00208908781539693,0.0397919881926922
"chr1_6026015_6026514",17.8067303585117,-0.284872380262604,0.426504212314068,-0.667923954881906,0.504182135435851,0.76335817897589
"chr1_6199402_6199926",32.6732982110467,0.527715925852729,0.320286449944478,1.64763737568108,0.0994271059266061,0.378635479426061
"chr1_6393293_6393792",19.5876856955791,0.148894017291483,0.424867204851512,0.350448365021537,0.726002234768454,0.889840505731984
"chr1_6579622_6580233",32.12434695062,0.310227902227174,0.313511996130604,0.98952482219512,0.322406431392484,0.631425973916181
"chr1_6602491_6603027",28.5251641008904,0.0888732551892068,0.346847054979731,0.256231828736157,0.797771833009604,0.922460273630913
"chr1_6613063_6613877",60.0344676873764,0.124407582392482,0.305818286252358,0.40680230053288,0.6841531969512,0.870250566159274
"chr1_6701343_6702086",25.3372506085017,0.222634980083058,0.371968695840498,0.598531496259365,0.549485349586416,0.790864050423404
"chr1_6784302_6784801",29.1487763255135,-0.375687594292258,0.379489144793152,-0.989982452586445,0.322182695933272,0.631425973916181
"chr1_6784828_6785445",106.919076270311,0.148040565701934,0.212495788259781,0.696675293728414,0.486006023797673,0.752192141947165
"chr1_7478790_7479289",7.35680465226952,1.73930093913796,0.861416452600789,2.01911738960484,0.0434750198473384,0.247424072757898
"chr1_7771054_7771553",19.3377904096084,-0.254918209681752,0.401860038269348,-0.634345755750147,0.525855201784157,0.776713433034048
"chr1_7783909_7784408",16.5932590620476,-0.0984475191955499,0.452398524490072,-0.217612379055649,0.827731138537625,0.932502745739118
"chr1_7942217_7943092",24.8538197918073,0.177345457519301,0.353601169396678,0.501540924827518,0.615990483348585,0.832169081098233
"chr1_7954017_7954516",23.9643159337368,0.3312460145655,0.379036430440927,0.873916035406326,0.382163981351042,0.680623428974938
"chr1_7961233_7961972",60.853455390734,0.397544238341869,0.252153020013313,1.57659915523074,0.114887787269717,0.407506545616959
